longitude,latitude,altitude,time,station_id,Water_Level,Water_Level_LAT,Water_Level_OD_Malin,QC_Flag
degrees_east,degrees_north,m,UTC,,m,m,m,
-6.2217,53.3457,0.0,2017-09-10T18:30:00Z,Dublin Port,1.675,1.675,-1.215,0.0
-6.0683,53.3915,0.0,2017-09-10T18:30:00Z,Howth Harbour,1.722,1.722,-1.24,0.0
-9.9034,51.6496,0.0,2017-09-10T18:30:00Z,Castletownbere,3.544,3.544,1.11,0.0
-9.048,53.269,0.0,2017-09-10T18:30:00Z,Galway Port,5.224,5.224,1.897,0.0
-8.3949,54.6364,0.0,2017-09-10T18:30:00Z,Killybegs Port,3.976,3.976,1.382,0.0
-7.3344,55.3717,0.0,2017-09-10T18:30:00Z,Malin Head,3.325,3.325,0.995,0.0
-9.8928,54.2536,0.0,2017-09-10T18:30:00Z,Ballyglass,3.638,3.638,1.326,0.0
-8.4955,54.9905,0.0,2017-09-10T18:30:00Z,Aranmore,3.866,3.866,1.314,0.0
-8.0007,51.8278,0.0,2017-09-10T18:30:00Z,Ballycotton,3.745,3.745,1.082,0.0
-6.99188,52.14767,0.0,2017-09-10T18:30:00Z,Dunmore,3.792,3.792,1.057,0.0
-6.2217,53.3457,0.0,2017-09-10T18:35:00Z,Dublin Port,1.617,1.617,-1.273,0.0
-6.0683,53.3915,0.0,2017-09-10T18:36:00Z,Howth Harbour,1.682,1.682,-1.28,0.0
-8.3949,54.6364,0.0,2017-09-10T18:36:00Z,Killybegs Port,4.047,4.047,1.453,0.0
-9.048,53.269,0.0,2017-09-10T18:36:00Z,Galway Port,5.334,5.334,2.007,0.0
-6.99188,52.14767,0.0,2017-09-10T18:36:00Z,Dunmore,3.87,3.87,1.135,0.0
-8.0007,51.8278,0.0,2017-09-10T18:36:00Z,Ballycotton,3.794,3.794,1.131,0.0
-8.4955,54.9905,0.0,2017-09-10T18:36:00Z,Aranmore,4.043,4.043,1.491,0.0
-9.8928,54.2536,0.0,2017-09-10T18:36:00Z,Ballyglass,3.661,3.661,1.349,0.0
-7.3344,55.3717,0.0,2017-09-10T18:36:00Z,Malin Head,3.388,3.388,1.058,0.0
-6.2217,53.3457,0.0,2017-09-10T18:40:00Z,Dublin Port,1.574,1.574,-1.316,0.0
-6.0683,53.3915,0.0,2017-09-10T18:42:00Z,Howth Harbour,1.622,1.622,-1.34,0.0
-9.048,53.269,0.0,2017-09-10T18:42:00Z,Galway Port,5.384,5.384,2.057,0.0
-8.3949,54.6364,0.0,2017-09-10T18:42:00Z,Killybegs Port,4.096,4.096,1.502,0.0
-7.3344,55.3717,0.0,2017-09-10T18:42:00Z,Malin Head,3.443,3.443,1.113,0.0
-9.8928,54.2536,0.0,2017-09-10T18:42:00Z,Ballyglass,3.753,3.753,1.441,0.0
-8.4955,54.9905,0.0,2017-09-10T18:42:00Z,Aranmore,3.983,3.983,1.431,0.0
-8.0007,51.8278,0.0,2017-09-10T18:42:00Z,Ballycotton,3.866,3.866,1.203,0.0
-6.99188,52.14767,0.0,2017-09-10T18:42:00Z,Dunmore,3.917,3.917,1.182,0.0
-6.2217,53.3457,0.0,2017-09-10T18:45:00Z,Dublin Port,1.534,1.534,-1.356,0.0
-9.9034,51.6496,0.0,2017-09-10T18:45:00Z,Castletownbere,3.624,3.624,1.19,0.0
-6.0683,53.3915,0.0,2017-09-10T18:48:00Z,Howth Harbour,1.572,1.572,-1.39,0.0
-8.3949,54.6364,0.0,2017-09-10T18:48:00Z,Killybegs Port,4.161,4.161,1.567,0.0
-9.048,53.269,0.0,2017-09-10T18:48:00Z,Galway Port,5.463,5.463,2.136,0.0
-6.99188,52.14767,0.0,2017-09-10T18:48:00Z,Dunmore,3.968,3.968,1.233,0.0
-8.0007,51.8278,0.0,2017-09-10T18:48:00Z,Ballycotton,3.927,3.927,1.264,0.0
-8.4955,54.9905,0.0,2017-09-10T18:48:00Z,Aranmore,4.156,4.156,1.604,0.0
-9.8928,54.2536,0.0,2017-09-10T18:48:00Z,Ballyglass,3.804,3.804,1.492,0.0
-7.3344,55.3717,0.0,2017-09-10T18:48:00Z,Malin Head,3.511,3.511,1.181,0.0
-6.2217,53.3457,0.0,2017-09-10T18:50:00Z,Dublin Port,1.503,1.503,-1.387,0.0
-7.3344,55.3717,0.0,2017-09-10T18:54:00Z,Malin Head,3.569,3.569,1.239,0.0
-9.8928,54.2536,0.0,2017-09-10T18:54:00Z,Ballyglass,3.812,3.812,1.5,0.0
-8.4955,54.9905,0.0,2017-09-10T18:54:00Z,Aranmore,3.992,3.992,1.44,0.0
-8.0007,51.8278,0.0,2017-09-10T18:54:00Z,Ballycotton,3.992,3.992,1.329,0.0
-6.99188,52.14767,0.0,2017-09-10T18:54:00Z,Dunmore,3.992,3.992,1.257,0.0
-9.048,53.269,0.0,2017-09-10T18:54:00Z,Galway Port,5.527,5.527,2.2,0.0
-8.3949,54.6364,0.0,2017-09-10T18:54:00Z,Killybegs Port,4.232,4.232,1.638,0.0
-6.0683,53.3915,0.0,2017-09-10T18:54:00Z,Howth Harbour,1.542,1.542,-1.42,0.0
-6.2217,53.3457,0.0,2017-09-10T18:55:00Z,Dublin Port,1.484,1.484,-1.406,0.0
-6.2217,53.3457,0.0,2017-09-10T19:00:00Z,Dublin Port,1.487,1.487,-1.403,0.0
-6.0683,53.3915,0.0,2017-09-10T19:00:00Z,Howth Harbour,1.532,1.532,-1.43,0.0
-9.9034,51.6496,0.0,2017-09-10T19:00:00Z,Castletownbere,3.694,3.694,1.26,0.0
-8.3949,54.6364,0.0,2017-09-10T19:00:00Z,Killybegs Port,4.289,4.289,1.695,0.0
-9.048,53.269,0.0,2017-09-10T19:00:00Z,Galway Port,5.546,5.546,2.219,0.0
-6.99188,52.14767,0.0,2017-09-10T19:00:00Z,Dunmore,4.021,4.021,1.286,0.0
-8.0007,51.8278,0.0,2017-09-10T19:00:00Z,Ballycotton,4.009,4.009,1.346,0.0
-8.4955,54.9905,0.0,2017-09-10T19:00:00Z,Aranmore,4.15,4.15,1.598,0.0
-9.8928,54.2536,0.0,2017-09-10T19:00:00Z,Ballyglass,3.825,3.825,1.513,0.0
-7.3344,55.3717,0.0,2017-09-10T19:00:00Z,Malin Head,3.611,3.611,1.281,0.0
-6.2217,53.3457,0.0,2017-09-10T19:05:00Z,Dublin Port,1.489,1.489,-1.401,0.0
-6.0683,53.3915,0.0,2017-09-10T19:06:00Z,Howth Harbour,1.452,1.452,-1.51,0.0
-9.048,53.269,0.0,2017-09-10T19:06:00Z,Galway Port,5.594,5.594,2.267,0.0
-8.3949,54.6364,0.0,2017-09-10T19:06:00Z,Killybegs Port,4.335,4.335,1.741,0.0
-7.3344,55.3717,0.0,2017-09-10T19:06:00Z,Malin Head,3.719,3.719,1.389,0.0
-9.8928,54.2536,0.0,2017-09-10T19:06:00Z,Ballyglass,3.959,3.959,1.647,0.0
-8.4955,54.9905,0.0,2017-09-10T19:06:00Z,Aranmore,4.227,4.227,1.675,0.0
-6.99188,52.14767,0.0,2017-09-10T19:06:00Z,Dunmore,4.046,4.046,1.311,0.0
-8.0007,51.8278,0.0,2017-09-10T19:06:00Z,Ballycotton,4.035,4.035,1.372,0.0
-6.2217,53.3457,0.0,2017-09-10T19:10:00Z,Dublin Port,1.488,1.488,-1.402,0.0
-6.0683,53.3915,0.0,2017-09-10T19:12:00Z,Howth Harbour,1.462,1.462,-1.5,0.0
-6.99188,52.14767,0.0,2017-09-10T19:12:00Z,Dunmore,4.14,4.14,1.405,0.0
-8.4955,54.9905,0.0,2017-09-10T19:12:00Z,Aranmore,4.34,4.34,1.788,0.0
-9.8928,54.2536,0.0,2017-09-10T19:12:00Z,Ballyglass,4.0,4.0,1.688,0.0
-7.3344,55.3717,0.0,2017-09-10T19:12:00Z,Malin Head,3.774,3.774,1.444,0.0
-8.3949,54.6364,0.0,2017-09-10T19:12:00Z,Killybegs Port,4.316,4.316,1.722,0.0
-9.048,53.269,0.0,2017-09-10T19:12:00Z,Galway Port,5.651,5.651,2.324,0.0
-8.0007,51.8278,0.0,2017-09-10T19:12:00Z,Ballycotton,4.065,4.065,1.402,0.0
-9.9034,51.6496,0.0,2017-09-10T19:15:00Z,Castletownbere,3.674,3.674,1.24,0.0
-6.2217,53.3457,0.0,2017-09-10T19:15:00Z,Dublin Port,1.466,1.466,-1.424,0.0
-6.0683,53.3915,0.0,2017-09-10T19:18:00Z,Howth Harbour,1.452,1.452,-1.51,0.0
-9.048,53.269,0.0,2017-09-10T19:18:00Z,Galway Port,5.693,5.693,2.366,0.0
-8.3949,54.6364,0.0,2017-09-10T19:18:00Z,Killybegs Port,4.411,4.411,1.817,0.0
-7.3344,55.3717,0.0,2017-09-10T19:18:00Z,Malin Head,3.792,3.792,1.462,0.0
-9.8928,54.2536,0.0,2017-09-10T19:18:00Z,Ballyglass,4.065,4.065,1.753,0.0
-8.4955,54.9905,0.0,2017-09-10T19:18:00Z,Aranmore,4.347,4.347,1.795,0.0
-6.99188,52.14767,0.0,2017-09-10T19:18:00Z,Dunmore,4.169,4.169,1.434,0.0
-8.0007,51.8278,0.0,2017-09-10T19:18:00Z,Ballycotton,4.152,4.152,1.489,0.0
-6.2217,53.3457,0.0,2017-09-10T19:20:00Z,Dublin Port,1.461,1.461,-1.429,0.0
-6.0683,53.3915,0.0,2017-09-10T19:24:00Z,Howth Harbour,1.392,1.392,-1.57,0.0
-6.99188,52.14767,0.0,2017-09-10T19:24:00Z,Dunmore,4.18,4.18,1.445,0.0
-8.4955,54.9905,0.0,2017-09-10T19:24:00Z,Aranmore,4.478,4.478,1.926,0.0
-9.8928,54.2536,0.0,2017-09-10T19:24:00Z,Ballyglass,4.042,4.042,1.73,0.0
-7.3344,55.3717,0.0,2017-09-10T19:24:00Z,Malin Head,3.857,3.857,1.527,0.0
-8.3949,54.6364,0.0,2017-09-10T19:24:00Z,Killybegs Port,4.473,4.473,1.879,0.0
-9.048,53.269,0.0,2017-09-10T19:24:00Z,Galway Port,5.744,5.744,2.417,0.0
-8.0007,51.8278,0.0,2017-09-10T19:24:00Z,Ballycotton,4.207,4.207,1.544,0.0
-6.2217,53.3457,0.0,2017-09-10T19:25:00Z,Dublin Port,1.416,1.416,-1.474,0.0
-6.2217,53.3457,0.0,2017-09-10T19:30:00Z,Dublin Port,1.371,1.371,-1.519,0.0
-6.0683,53.3915,0.0,2017-09-10T19:30:00Z,Howth Harbour,1.422,1.422,-1.54,0.0
-9.048,53.269,0.0,2017-09-10T19:30:00Z,Galway Port,5.792,5.792,2.465,0.0
-9.9034,51.6496,0.0,2017-09-10T19:30:00Z,Castletownbere,3.684,3.684,1.25,0.0
-8.3949,54.6364,0.0,2017-09-10T19:30:00Z,Killybegs Port,4.492,4.492,1.898,0.0
-7.3344,55.3717,0.0,2017-09-10T19:30:00Z,Malin Head,3.854,3.854,1.524,0.0
-9.8928,54.2536,0.0,2017-09-10T19:30:00Z,Ballyglass,4.088,4.088,1.776,0.0
-8.4955,54.9905,0.0,2017-09-10T19:30:00Z,Aranmore,4.348,4.348,1.796,0.0
-6.99188,52.14767,0.0,2017-09-10T19:30:00Z,Dunmore,4.255,4.255,1.52,0.0
-8.0007,51.8278,0.0,2017-09-10T19:30:00Z,Ballycotton,4.207,4.207,1.544,0.0
-6.2217,53.3457,0.0,2017-09-10T19:35:00Z,Dublin Port,1.325,1.325,-1.565,0.0
-6.0683,53.3915,0.0,2017-09-10T19:36:00Z,Howth Harbour,1.392,1.392,-1.57,0.0
-6.99188,52.14767,0.0,2017-09-10T19:36:00Z,Dunmore,4.273,4.273,1.538,0.0
-8.4955,54.9905,0.0,2017-09-10T19:36:00Z,Aranmore,4.355,4.355,1.803,0.0
-9.8928,54.2536,0.0,2017-09-10T19:36:00Z,Ballyglass,4.15,4.15,1.838,0.0
-7.3344,55.3717,0.0,2017-09-10T19:36:00Z,Malin Head,3.992,3.992,1.662,0.0
-8.3949,54.6364,0.0,2017-09-10T19:36:00Z,Killybegs Port,4.566,4.566,1.972,0.0
-9.048,53.269,0.0,2017-09-10T19:36:00Z,Galway Port,5.816,5.816,2.489,0.0
-8.0007,51.8278,0.0,2017-09-10T19:36:00Z,Ballycotton,4.21,4.21,1.547,0.0
-6.2217,53.3457,0.0,2017-09-10T19:40:00Z,Dublin Port,1.303,1.303,-1.587,0.0
-6.0683,53.3915,0.0,2017-09-10T19:42:00Z,Howth Harbour,1.432,1.432,-1.53,0.0
-9.048,53.269,0.0,2017-09-10T19:42:00Z,Galway Port,5.832,5.832,2.505,0.0
-8.3949,54.6364,0.0,2017-09-10T19:42:00Z,Killybegs Port,4.566,4.566,1.972,0.0
-7.3344,55.3717,0.0,2017-09-10T19:42:00Z,Malin Head,3.977,3.977,1.647,0.0
-9.8928,54.2536,0.0,2017-09-10T19:42:00Z,Ballyglass,4.159,4.159,1.847,0.0
-8.4955,54.9905,0.0,2017-09-10T19:42:00Z,Aranmore,4.418,4.418,1.866,0.0
-6.99188,52.14767,0.0,2017-09-10T19:42:00Z,Dunmore,4.298,4.298,1.563,0.0
-8.0007,51.8278,0.0,2017-09-10T19:42:00Z,Ballycotton,4.28,4.28,1.617,0.0
-9.9034,51.6496,0.0,2017-09-10T19:45:00Z,Castletownbere,3.664,3.664,1.23,0.0
-6.2217,53.3457,0.0,2017-09-10T19:45:00Z,Dublin Port,1.303,1.303,-1.587,0.0
-6.0683,53.3915,0.0,2017-09-10T19:48:00Z,Howth Harbour,1.442,1.442,-1.52,0.0
-9.048,53.269,0.0,2017-09-10T19:48:00Z,Galway Port,5.859,5.859,2.532,0.0
-7.3344,55.3717,0.0,2017-09-10T19:48:00Z,Malin Head,4.054,4.054,1.724,0.0
