station_id,longitude,latitude,time,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,AirTemperature,DewPoint,SeaTemperature,salinity,RelativeHumidity,QC_Flag
M3,-10.548261,51.215958,2018-01-21T21:00:00Z,NaN,NaN,NaN,NaN,4.531,8.32,277.0,7.031,11.167,NaN,NaN,NaN,NaN,0.0
M6,-15.88135,53.07482,2018-01-21T21:00:00Z,1006.7,260.0,25.0,33.0,5.7,9.0,NaN,NaN,10.2,10.2,11.1,NaN,100.0,0.0
M6,-15.88135,53.07482,2018-01-21T22:00:00Z,1007.1,260.0,22.0,31.0,5.5,9.0,NaN,NaN,10.1,10.1,11.0,NaN,100.0,0.0
M4,-9.999136,54.999966,2018-01-21T22:00:00Z,NaN,268.0,24.05,32.02,NaN,NaN,NaN,NaN,10.039,NaN,10.186,NaN,67.578,0.0
M3,-10.548261,51.215958,2018-01-21T22:00:00Z,NaN,NaN,NaN,NaN,4.219,8.32,278.0,6.328,10.962,NaN,NaN,NaN,NaN,0.0
M6,-15.88135,53.07482,2018-01-21T23:00:00Z,1007.5,260.0,23.0,31.0,6.1,9.0,NaN,NaN,9.6,9.6,11.0,NaN,100.0,0.0
M4,-9.999136,54.999966,2018-01-21T23:00:00Z,NaN,272.0,22.058,33.016,NaN,NaN,NaN,NaN,9.834,NaN,10.151,NaN,69.141,0.0
M5,-6.704336,51.690426,2018-01-21T23:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.005,NaN,NaN,NaN,89.844,0.0
M3,-10.548261,51.215958,2018-01-21T23:00:00Z,NaN,NaN,NaN,NaN,4.531,8.672,283.0,6.797,10.962,NaN,NaN,NaN,NaN,0.0
M6,-15.88135,53.07482,2018-01-22T00:00:00Z,1008.3,270.0,25.0,33.0,5.4,9.0,NaN,NaN,9.8,9.8,11.1,NaN,100.0,0.0
M3,-10.548261,51.215958,2018-01-22T00:00:00Z,NaN,NaN,NaN,NaN,4.531,8.555,281.0,6.563,10.894,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-22T00:00:00Z,NaN,268.0,21.062,32.02,NaN,NaN,NaN,NaN,9.526,NaN,10.151,NaN,73.828,0.0
M6,-15.88135,53.07482,2018-01-22T01:00:00Z,1008.9,260.0,21.0,33.0,5.6,9.0,NaN,NaN,9.3,9.3,11.1,NaN,100.0,0.0
M4,-9.999136,54.999966,2018-01-22T01:00:00Z,NaN,272.0,20.493,31.735,NaN,NaN,NaN,NaN,9.731,NaN,10.186,NaN,69.141,0.0
M3,-10.548261,51.215958,2018-01-22T01:00:00Z,NaN,NaN,NaN,NaN,4.688,8.906,278.0,6.563,10.757,NaN,NaN,NaN,NaN,0.0
M5,-6.704336,51.690426,2018-01-22T01:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.868,NaN,NaN,NaN,89.453,0.0
M6,-15.88135,53.07482,2018-01-22T02:00:00Z,1009.3,270.0,23.0,33.0,5.8,9.0,NaN,NaN,9.6,9.6,11.0,NaN,100.0,0.0
M3,-10.548261,51.215958,2018-01-22T02:00:00Z,NaN,NaN,NaN,NaN,4.531,8.906,278.0,6.563,10.313,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-22T02:00:00Z,NaN,274.0,22.77,33.443,NaN,NaN,NaN,NaN,9.492,NaN,10.186,NaN,75.0,0.0
M6,-15.88135,53.07482,2018-01-22T03:00:00Z,1009.5,270.0,20.0,29.0,5.8,8.0,NaN,NaN,9.5,9.5,11.1,NaN,100.0,0.0
M3,-10.548261,51.215958,2018-01-22T03:00:00Z,NaN,NaN,NaN,NaN,4.688,8.906,284.0,6.797,10.518,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-22T03:00:00Z,NaN,274.0,23.339,32.304,NaN,NaN,NaN,NaN,9.424,NaN,10.186,NaN,80.469,0.0
M6,-15.88135,53.07482,2018-01-22T04:00:00Z,1010.3,270.0,19.0,27.0,6.3,10.0,NaN,NaN,9.8,9.8,11.2,NaN,100.0,0.0
M5,-6.704336,51.690426,2018-01-22T04:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0
M3,-10.548261,51.215958,2018-01-22T04:00:00Z,NaN,NaN,NaN,NaN,4.688,8.438,280.0,5.859,10.962,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-22T04:00:00Z,NaN,280.0,23.481,32.731,NaN,NaN,NaN,NaN,9.697,NaN,10.186,NaN,79.297,0.0
M6,-15.88135,53.07482,2018-01-22T05:00:00Z,1009.7,250.0,18.0,27.0,6.1,9.0,NaN,NaN,10.4,10.4,11.3,NaN,100.0,0.0
M3,-10.548261,51.215958,2018-01-22T05:00:00Z,NaN,NaN,NaN,NaN,5.469,9.258,283.0,9.609,11.099,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-22T05:00:00Z,NaN,277.0,21.631,29.458,NaN,NaN,NaN,NaN,9.629,NaN,10.186,NaN,78.906,0.0
M6,-15.88135,53.07482,2018-01-22T06:00:00Z,1009.9,240.0,19.0,27.0,6.5,10.0,NaN,NaN,10.7,10.7,11.5,NaN,100.0,0.0
M4,-9.999136,54.999966,2018-01-22T06:00:00Z,NaN,272.0,23.196,32.589,NaN,NaN,NaN,NaN,9.868,NaN,10.186,NaN,71.484,0.0
M3,-10.548261,51.215958,2018-01-22T06:00:00Z,NaN,NaN,NaN,NaN,5.313,9.023,287.0,8.203,11.099,NaN,NaN,NaN,NaN,0.0
M6,-15.88135,53.07482,2018-01-22T07:00:00Z,1009.9,230.0,17.0,29.0,6.3,10.0,NaN,NaN,10.1,10.1,11.5,NaN,100.0,0.0
M4,-9.999136,54.999966,2018-01-22T07:00:00Z,NaN,279.0,22.2,31.735,NaN,NaN,NaN,NaN,9.868,NaN,10.186,NaN,71.094,0.0
M3,-10.548261,51.215958,2018-01-22T07:00:00Z,NaN,NaN,NaN,NaN,5.313,9.258,281.0,7.969,10.894,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-22T08:00:00Z,NaN,265.0,19.781,29.6,NaN,NaN,NaN,NaN,9.731,NaN,10.186,NaN,72.266,0.0
M3,-10.548261,51.215958,2018-01-22T08:00:00Z,NaN,NaN,NaN,NaN,4.688,8.789,281.0,6.094,10.894,NaN,NaN,NaN,NaN,0.0
M6,-15.88135,53.07482,2018-01-22T08:00:00Z,1009.5,210.0,18.0,25.0,6.8,11.0,NaN,NaN,10.5,10.5,11.4,NaN,100.0,0.0
M6,-15.88135,53.07482,2018-01-22T09:00:00Z,1009.5,210.0,18.0,27.0,6.0,10.0,NaN,NaN,10.9,10.9,10.9,NaN,100.0,0.0
M3,-10.548261,51.215958,2018-01-22T09:00:00Z,NaN,NaN,NaN,NaN,4.844,9.141,283.0,6.563,9.834,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-22T09:00:00Z,NaN,266.0,20.92,30.454,NaN,NaN,NaN,NaN,9.902,NaN,10.186,NaN,75.0,0.0
M3,-10.548261,51.215958,2018-01-22T10:00:00Z,NaN,NaN,NaN,NaN,5.0,9.023,283.0,7.5,10.483,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-22T10:00:00Z,NaN,271.0,21.631,28.462,NaN,NaN,NaN,NaN,9.971,NaN,10.186,NaN,72.656,0.0
M6,-15.88135,53.07482,2018-01-22T10:00:00Z,1009.1,200.0,20.0,29.0,5.9,10.0,NaN,NaN,11.2,11.2,10.9,NaN,100.0,0.0
M3,-10.548261,51.215958,2018-01-22T11:00:00Z,NaN,NaN,NaN,NaN,4.375,8.438,284.0,6.797,10.757,NaN,NaN,NaN,NaN,0.0
M4,-9.999136,54.999966,2018-01-22T11:00:00Z,NaN,262.0,20.066,28.462,NaN,NaN,NaN,NaN,9.902,NaN,10.151,NaN,75.0,0.0
