-10.27732,52.13924,0.0,2018-11-14T11:45:00Z,Dingle Harbour,2.669,2.669,-0.029,0.0
-9.8635645,52.270702,0.0,2018-11-14T11:45:00Z,OPW Fenit,3.434,3.434,0.491,0.0
-6.221441,53.798042,0.0,2018-11-14T11:45:00Z,OPW Port Oriel,3.05,3.05,-0.022,0.0
-8.305566,51.83496,0.0,2018-11-14T11:45:00Z,OPW Ringaskiddy,2.836,2.836,0.21,0.0
-9.562056,53.266926,0.0,2018-11-14T11:45:00Z,OPW Rossaveel Pier,3.714,3.714,0.84,0.0
-6.145231,52.792046,0.0,2018-11-14T11:45:00Z,OPW Arklow Harbour,1.409,1.409,0.279,0.0
-8.582,54.3099,0.0,2018-11-14T11:48:00Z,Sligo,3.508,3.508,1.046,0.0
-9.048,53.269,0.0,2018-11-14T11:50:00Z,Galway Port,3.944,3.944,0.567,0.0
-8.3949,54.6364,0.0,2018-11-14T11:50:00Z,Killybegs Port,3.488,3.488,0.897,0.0
-6.0683,53.3915,0.0,2018-11-14T11:50:00Z,Howth Harbour,2.917,2.917,-0.04,0.0
-9.6669,53.1178,0.0,2018-11-14T11:50:00Z,Inishmore,3.632,3.632,0.631,0.0
-6.2217,53.3457,0.0,2018-11-14T11:50:00Z,Dublin Port,2.815,2.815,0.004,0.0
-9.8928,54.2536,0.0,2018-11-14T11:50:00Z,Ballyglass Harbour,3.224,3.224,0.925,0.0
-8.0007,51.8278,0.0,2018-11-14T11:50:00Z,Ballycotton Harbour,2.944,2.944,0.272,0.0
-8.4955,54.9905,0.0,2018-11-14T11:50:00Z,Aranmore Island - Leabgarrow,3.505,3.505,0.954,0.0
-6.4589,52.3385,0.0,2018-11-14T11:50:00Z,Wexford Harbour,-0.047,NaN,-0.047,0.0
-6.99188,52.14767,0.0,2018-11-14T11:50:00Z,Dunmore East Harbour,3.045,3.045,0.307,0.0
-7.3344,55.3717,0.0,2018-11-14T11:50:00Z,Malin Head - Portmore Pier,3.268,3.268,0.966,0.0
-9.50208,52.63191,0.0,2018-11-14T11:50:00Z,Kilrush Lough,3.781,3.781,0.501,0.0
-6.06809,53.391335,0.0,2018-11-14T11:50:00Z,Howth Harbour 2,0.109,NaN,0.109,0.0
-10.27732,52.13924,0.0,2018-11-14T11:50:00Z,Dingle Harbour,2.637,2.637,-0.061,0.0
-9.8635645,52.270702,0.0,2018-11-14T11:50:00Z,OPW Fenit,3.376,3.376,0.433,0.0
-9.562056,53.266926,0.0,2018-11-14T11:50:00Z,OPW Rossaveel Pier,3.651,3.651,0.777,0.0
-8.305566,51.83496,0.0,2018-11-14T11:50:00Z,OPW Ringaskiddy,2.805,2.805,0.179,0.0
-6.221441,53.798042,0.0,2018-11-14T11:50:00Z,OPW Port Oriel,3.1,3.1,0.028,0.0
-8.582,54.3099,0.0,2018-11-14T11:54:00Z,Sligo,3.46,3.46,0.998,0.0
-8.4955,54.9905,0.0,2018-11-14T11:55:00Z,Aranmore Island - Leabgarrow,3.503,3.503,0.952,0.0
-6.99188,52.14767,0.0,2018-11-14T11:55:00Z,Dunmore East Harbour,3.029,3.029,0.291,0.0
-9.6669,53.1178,0.0,2018-11-14T11:55:00Z,Inishmore,3.566,3.566,0.565,0.0
-8.0007,51.8278,0.0,2018-11-14T11:55:00Z,Ballycotton Harbour,2.947,2.947,0.275,0.0
-6.4589,52.3385,0.0,2018-11-14T11:55:00Z,Wexford Harbour,-0.054,NaN,-0.054,0.0
-6.2217,53.3457,0.0,2018-11-14T11:55:00Z,Dublin Port,2.859,2.859,0.048,0.0
-6.0683,53.3915,0.0,2018-11-14T11:55:00Z,Howth Harbour,2.937,2.937,-0.02,0.0
-7.3344,55.3717,0.0,2018-11-14T11:55:00Z,Malin Head - Portmore Pier,3.268,3.268,0.966,0.0
-9.8928,54.2536,0.0,2018-11-14T11:55:00Z,Ballyglass Harbour,3.174,3.174,0.875,0.0
-9.048,53.269,0.0,2018-11-14T11:55:00Z,Galway Port,3.883,3.883,0.506,0.0
-8.3949,54.6364,0.0,2018-11-14T11:55:00Z,Killybegs Port,3.461,3.461,0.87,0.0
-6.221441,53.798042,0.0,2018-11-14T11:55:00Z,OPW Port Oriel,3.157,3.157,0.085,0.0
-8.305566,51.83496,0.0,2018-11-14T11:55:00Z,OPW Ringaskiddy,2.744,2.744,0.118,0.0
-9.562056,53.266926,0.0,2018-11-14T11:55:00Z,OPW Rossaveel Pier,3.584,3.584,0.71,0.0
-9.50208,52.63191,0.0,2018-11-14T11:55:00Z,Kilrush Lough,3.726,3.726,0.446,0.0
-6.06809,53.391335,0.0,2018-11-14T11:55:00Z,Howth Harbour 2,0.127,NaN,0.127,0.0
-10.27732,52.13924,0.0,2018-11-14T11:55:00Z,Dingle Harbour,2.613,2.613,-0.085,0.0
-9.8635645,52.270702,0.0,2018-11-14T11:55:00Z,OPW Fenit,3.356,3.356,0.413,0.0
-9.8635645,52.270702,0.0,2018-11-14T12:00:00Z,OPW Fenit,3.32,3.32,0.377,0.0
-10.27732,52.13924,0.0,2018-11-14T12:00:00Z,Dingle Harbour,2.585,2.585,-0.113,0.0
-6.06809,53.391335,0.0,2018-11-14T12:00:00Z,Howth Harbour 2,0.179,NaN,0.179,0.0
-9.50208,52.63191,0.0,2018-11-14T12:00:00Z,Kilrush Lough,3.67,3.67,0.39,0.0
-9.562056,53.266926,0.0,2018-11-14T12:00:00Z,OPW Rossaveel Pier,3.522,3.522,0.648,0.0
-8.305566,51.83496,0.0,2018-11-14T12:00:00Z,OPW Ringaskiddy,2.705,2.705,0.079,0.0
-6.221441,53.798042,0.0,2018-11-14T12:00:00Z,OPW Port Oriel,3.241,3.241,0.169,0.0
-6.145231,52.792046,0.0,2018-11-14T12:00:00Z,OPW Arklow Harbour,1.428,1.428,0.298,0.0
-9.048,53.269,0.0,2018-11-14T12:00:00Z,Galway Port,3.814,3.814,0.437,0.0
-8.3949,54.6364,0.0,2018-11-14T12:00:00Z,Killybegs Port,3.442,3.442,0.851,0.0
-9.8928,54.2536,0.0,2018-11-14T12:00:00Z,Ballyglass Harbour,3.148,3.148,0.849,0.0
-7.3344,55.3717,0.0,2018-11-14T12:00:00Z,Malin Head - Portmore Pier,3.267,3.267,0.965,0.0
-6.0683,53.3915,0.0,2018-11-14T12:00:00Z,Howth Harbour,2.977,2.977,0.02,0.0
-6.2217,53.3457,0.0,2018-11-14T12:00:00Z,Dublin Port,2.887,2.887,0.076,0.0
-6.4589,52.3385,0.0,2018-11-14T12:00:00Z,Wexford Harbour,-0.077,NaN,-0.077,0.0
-8.0007,51.8278,0.0,2018-11-14T12:00:00Z,Ballycotton Harbour,2.79,2.79,0.118,0.0
-9.6669,53.1178,0.0,2018-11-14T12:00:00Z,Inishmore,3.507,3.507,0.506,0.0
-6.99188,52.14767,0.0,2018-11-14T12:00:00Z,Dunmore East Harbour,2.886,2.886,0.148,0.0
-8.4955,54.9905,0.0,2018-11-14T12:00:00Z,Aranmore Island - Leabgarrow,3.511,3.511,0.96,0.0
-8.582,54.3099,0.0,2018-11-14T12:00:00Z,Sligo,3.409,3.409,0.947,0.0
-8.4955,54.9905,0.0,2018-11-14T12:05:00Z,Aranmore Island - Leabgarrow,3.416,3.416,0.865,0.0
-6.99188,52.14767,0.0,2018-11-14T12:05:00Z,Dunmore East Harbour,2.914,2.914,0.176,0.0
-9.6669,53.1178,0.0,2018-11-14T12:05:00Z,Inishmore,3.484,3.484,0.483,0.0
-8.0007,51.8278,0.0,2018-11-14T12:05:00Z,Ballycotton Harbour,2.788,2.788,0.116,0.0
-6.2217,53.3457,0.0,2018-11-14T12:05:00Z,Dublin Port,2.951,2.951,0.14,0.0
-6.0683,53.3915,0.0,2018-11-14T12:05:00Z,Howth Harbour,3.007,3.007,0.05,0.0
-9.8928,54.2536,0.0,2018-11-14T12:05:00Z,Ballyglass Harbour,3.089,3.089,0.79,0.0
-8.3949,54.6364,0.0,2018-11-14T12:05:00Z,Killybegs Port,3.415,3.415,0.824,0.0
-9.048,53.269,0.0,2018-11-14T12:05:00Z,Galway Port,3.744,3.744,0.367,0.0
-6.221441,53.798042,0.0,2018-11-14T12:05:00Z,OPW Port Oriel,3.273,3.273,0.201,0.0
-8.305566,51.83496,0.0,2018-11-14T12:05:00Z,OPW Ringaskiddy,2.652,2.652,0.026,0.0
-9.8635645,52.270702,0.0,2018-11-14T12:05:00Z,OPW Fenit,3.23,3.23,0.287,0.0
-9.562056,53.266926,0.0,2018-11-14T12:05:00Z,OPW Rossaveel Pier,3.459,3.459,0.585,0.0
-9.50208,52.63191,0.0,2018-11-14T12:05:00Z,Kilrush Lough,3.619,3.619,0.339,0.0
-6.06809,53.391335,0.0,2018-11-14T12:05:00Z,Howth Harbour 2,0.197,NaN,0.197,0.0
-10.27732,52.13924,0.0,2018-11-14T12:05:00Z,Dingle Harbour,2.562,2.562,-0.136,0.0
-6.4589,52.3385,0.0,2018-11-14T12:05:00Z,Wexford Harbour,-0.095,NaN,-0.095,0.0
-7.3344,55.3717,0.0,2018-11-14T12:05:00Z,Malin Head - Portmore Pier,3.221,3.221,0.919,0.0
-8.582,54.3099,0.0,2018-11-14T12:06:00Z,Sligo,3.359,3.359,0.897,0.0
-8.3949,54.6364,0.0,2018-11-14T12:10:00Z,Killybegs Port,3.394,3.394,0.803,0.0
-10.27732,52.13924,0.0,2018-11-14T12:10:00Z,Dingle Harbour,2.526,2.526,-0.172,0.0
-6.4589,52.3385,0.0,2018-11-14T12:10:00Z,Wexford Harbour,-0.112,NaN,-0.112,0.0
-9.50208,52.63191,0.0,2018-11-14T12:10:00Z,Kilrush Lough,3.602,3.602,0.322,0.0
-6.06809,53.391335,0.0,2018-11-14T12:10:00Z,Howth Harbour 2,0.213,NaN,0.213,0.0
-7.3344,55.3717,0.0,2018-11-14T12:10:00Z,Malin Head - Portmore Pier,3.199,3.199,0.897,0.0
-9.6669,53.1178,0.0,2018-11-14T12:10:00Z,Inishmore,3.451,3.451,0.45,0.0
-9.8928,54.2536,0.0,2018-11-14T12:10:00Z,Ballyglass Harbour,3.047,3.047,0.748,0.0
-8.4955,54.9905,0.0,2018-11-14T12:10:00Z,Aranmore Island - Leabgarrow,3.413,3.413,0.862,0.0
-8.0007,51.8278,0.0,2018-11-14T12:10:00Z,Ballycotton Harbour,2.766,2.766,0.094,0.0
-6.99188,52.14767,0.0,2018-11-14T12:10:00Z,Dunmore East Harbour,2.774,2.774,0.036,0.0
-6.2217,53.3457,0.0,2018-11-14T12:10:00Z,Dublin Port,2.952,2.952,0.141,0.0
-9.048,53.269,0.0,2018-11-14T12:10:00Z,Galway Port,3.677,3.677,0.3,0.0
-6.0683,53.3915,0.0,2018-11-14T12:10:00Z,Howth Harbour,3.027,3.027,0.07,0.0
-9.562056,53.266926,0.0,2018-11-14T12:10:00Z,OPW Rossaveel Pier,3.43,3.43,0.556,0.0
-9.8635645,52.270702,0.0,2018-11-14T12:10:00Z,OPW Fenit,3.227,3.227,0.284,0.0
-8.305566,51.83496,0.0,2018-11-14T12:10:00Z,OPW Ringaskiddy,2.582,2.582,-0.044,0.0
-6.221441,53.798042,0.0,2018-11-14T12:10:00Z,OPW Port Oriel,3.312,3.312,0.24,0.0
-8.582,54.3099,0.0,2018-11-14T12:12:00Z,Sligo,3.308,3.308,0.846,0.0
-6.99188,52.14767,0.0,2018-11-14T12:15:00Z,Dunmore East Harbour,2.798,2.798,0.06,0.0
-8.0007,51.8278,0.0,2018-11-14T12:15:00Z,Ballycotton Harbour,2.75,2.75,0.078,0.0
-8.4955,54.9905,0.0,2018-11-14T12:15:00Z,Aranmore Island - Leabgarrow,3.336,3.336,0.785,0.0
-9.8928,54.2536,0.0,2018-11-14T12:15:00Z,Ballyglass Harbour,3.046,3.046,0.747,0.0
-9.6669,53.1178,0.0,2018-11-14T12:15:00Z,Inishmore,3.37,3.37,0.369,0.0
-7.3344,55.3717,0.0,2018-11-14T12:15:00Z,Malin Head - Portmore Pier,3.214,3.214,0.912,0.0
-6.0683,53.3915,0.0,2018-11-14T12:15:00Z,Howth Harbour,3.087,3.087,0.13,0.0
-9.048,53.269,0.0,2018-11-14T12:15:00Z,Galway Port,3.586,3.586,0.209,0.0
-8.3949,54.6364,0.0,2018-11-14T12:15:00Z,Killybegs Port,3.33,3.33,0.739,0.0
-6.2217,53.3457,0.0,2018-11-14T12:15:00Z,Dublin Port,2.998,2.998,0.187,0.0
-9.562056,53.266926,0.0,2018-11-14T12:15:00Z,OPW Rossaveel Pier,3.393,3.393,0.519,0.0
-6.06809,53.391335,0.0,2018-11-14T12:15:00Z,Howth Harbour 2,0.278,NaN,0.278,0.0
-9.50208,52.63191,0.0,2018-11-14T12:15:00Z,Kilrush Lough,3.547,3.547,0.267,0.0
-6.4589,52.3385,0.0,2018-11-14T12:15:00Z,Wexford Harbour,-0.116,NaN,-0.116,0.0
-10.27732,52.13924,0.0,2018-11-14T12:15:00Z,Dingle Harbour,2.462,2.462,-0.236,0.0
-6.221441,53.798042,0.0,2018-11-14T12:15:00Z,OPW Port Oriel,3.37,3.37,0.298,0.0
-8.305566,51.83496,0.0,2018-11-14T12:15:00Z,OPW Ringaskiddy,2.55,2.55,-0.076,0.0
-9.8635645,52.270702,0.0,2018-11-14T12:15:00Z,OPW Fenit,3.158,3.158,0.215,0.0
-6.145231,52.792046,0.0,2018-11-14T12:15:00Z,OPW Arklow Harbour,1.466,1.466,0.336,0.0
-8.582,54.3099,0.0,2018-11-14T12:18:00Z,Sligo,3.279,3.279,0.817,0.0
-6.99188,52.14767,0.0,2018-11-14T12:20:00Z,Dunmore East Harbour,2.803,2.803,0.065,0.0
-8.0007,51.8278,0.0,2018-11-14T12:20:00Z,Ballycotton Harbour,2.678,2.678,0.006,0.0
-9.6669,53.1178,0.0,2018-11-14T12:20:00Z,Inishmore,3.327,3.327,0.326,0.0
-9.8928,54.2536,0.0,2018-11-14T12:20:00Z,Ballyglass Harbour,3.015,3.015,0.716,0.0
-8.4955,54.9905,0.0,2018-11-14T12:20:00Z,Aranmore Island - Leabgarrow,3.333,3.333,0.782,0.0
-6.2217,53.3457,0.0,2018-11-14T12:20:00Z,Dublin Port,3.014,3.014,0.203,0.0
-8.3949,54.6364,0.0,2018-11-14T12:20:00Z,Killybegs Port,3.271,3.271,0.68,0.0
-9.048,53.269,0.0,2018-11-14T12:20:00Z,Galway Port,3.512,3.512,0.135,0.0
-6.0683,53.3915,0.0,2018-11-14T12:20:00Z,Howth Harbour,3.127,3.127,0.17,0.0
-9.562056,53.266926,0.0,2018-11-14T12:20:00Z,OPW Rossaveel Pier,3.382,3.382,0.508,0.0
-10.27732,52.13924,0.0,2018-11-14T12:20:00Z,Dingle Harbour,2.459,2.459,-0.239,0.0
-6.4589,52.3385,0.0,2018-11-14T12:20:00Z,Wexford Harbour,-0.14,NaN,-0.14,0.0
-9.50208,52.63191,0.0,2018-11-14T12:20:00Z,Kilrush Lough,3.48,3.48,0.2,0.0
-6.06809,53.391335,0.0,2018-11-14T12:20:00Z,Howth Harbour 2,0.331,NaN,0.331,0.0
-7.3344,55.3717,0.0,2018-11-14T12:20:00Z,Malin Head - Portmore Pier,3.228,3.228,0.926,0.0
-9.8635645,52.270702,0.0,2018-11-14T12:20:00Z,OPW Fenit,3.13,3.13,0.187,0.0
-8.305566,51.83496,0.0,2018-11-14T12:20:00Z,OPW Ringaskiddy,2.514,2.514,-0.112,0.0
-6.221441,53.798042,0.0,2018-11-14T12:20:00Z,OPW Port Oriel,3.41,3.41,0.338,0.0
-8.582,54.3099,0.0,2018-11-14T12:24:00Z,Sligo,3.217,3.217,0.755,0.0
-8.0007,51.8278,0.0,2018-11-14T12:25:00Z,Ballycotton Harbour,2.649,2.649,-0.023,0.0
-9.8928,54.2536,0.0,2018-11-14T12:25:00Z,Ballyglass Harbour,2.985,2.985,0.686,0.0
-8.4955,54.9905,0.0,2018-11-14T12:25:00Z,Aranmore Island - Leabgarrow,3.281,3.281,0.73,0.0
-7.3344,55.3717,0.0,2018-11-14T12:25:00Z,Malin Head - Portmore Pier,3.167,3.167,0.865,0.0
-9.6669,53.1178,0.0,2018-11-14T12:25:00Z,Inishmore,3.304,3.304,0.303,0.0
-9.048,53.269,0.0,2018-11-14T12:25:00Z,Galway Port,3.468,3.468,0.091,0.0
-6.06809,53.391335,0.0,2018-11-14T12:25:00Z,Howth Harbour 2,0.352,NaN,0.352,0.0
-10.27732,52.13924,0.0,2018-11-14T12:25:00Z,Dingle Harbour,2.434,2.434,-0.264,0.0
-6.99188,52.14767,0.0,2018-11-14T12:25:00Z,Dunmore East Harbour,2.706,2.706,-0.032,0.0
-6.4589,52.3385,0.0,2018-11-14T12:25:00Z,Wexford Harbour,-0.161,NaN,-0.161,0.0
-9.50208,52.63191,0.0,2018-11-14T12:25:00Z,Kilrush Lough,3.437,3.437,0.157,0.0
-6.2217,53.3457,0.0,2018-11-14T12:25:00Z,Dublin Port,3.08,3.08,0.269,0.0
-6.0683,53.3915,0.0,2018-11-14T12:25:00Z,Howth Harbour,3.157,3.157,0.2,0.0
-9.562056,53.266926,0.0,2018-11-14T12:25:00Z,OPW Rossaveel Pier,3.334,3.334,0.46,0.0
-8.3949,54.6364,0.0,2018-11-14T12:25:00Z,Killybegs Port,3.198,3.198,0.607,0.0
-6.221441,53.798042,0.0,2018-11-14T12:25:00Z,OPW Port Oriel,3.459,3.459,0.387,0.0
-8.305566,51.83496,0.0,2018-11-14T12:25:00Z,OPW Ringaskiddy,2.478,2.478,-0.148,0.0
-9.8635645,52.270702,0.0,2018-11-14T12:25:00Z,OPW Fenit,3.077,3.077,0.134,0.0
-9.8635645,52.270702,0.0,2018-11-14T12:30:00Z,OPW Fenit,3.005,3.005,0.062,0.0
-8.305566,51.83496,0.0,2018-11-14T12:30:00Z,OPW Ringaskiddy,2.41,2.41,-0.216,0.0
-6.221441,53.798042,0.0,2018-11-14T12:30:00Z,OPW Port Oriel,3.491,3.491,0.419,0.0
-6.145231,52.792046,0.0,2018-11-14T12:30:00Z,OPW Arklow Harbour,1.453,1.453,0.323,0.0
-9.562056,53.266926,0.0,2018-11-14T12:30:00Z,OPW Rossaveel Pier,3.266,3.266,0.392,0.0
-6.0683,53.3915,0.0,2018-11-14T12:30:00Z,Howth Harbour,3.207,3.207,0.25,0.0
-6.2217,53.3457,0.0,2018-11-14T12:30:00Z,Dublin Port,3.087,3.087,0.276,0.0
-9.50208,52.63191,0.0,2018-11-14T12:30:00Z,Kilrush Lough,3.393,3.393,0.113,0.0
-6.4589,52.3385,0.0,2018-11-14T12:30:00Z,Wexford Harbour,-0.179,NaN,-0.179,0.0
-6.99188,52.14767,0.0,2018-11-14T12:30:00Z,Dunmore East Harbour,2.603,2.603,-0.135,0.0
-10.27732,52.13924,0.0,2018-11-14T12:30:00Z,Dingle Harbour,2.41,2.41,-0.288,0.0
-6.06809,53.391335,0.0,2018-11-14T12:30:00Z,Howth Harbour 2,0.411,NaN,0.411,0.0
-9.048,53.269,0.0,2018-11-14T12:30:00Z,Galway Port,3.402,3.402,0.025,0.0
-8.3949,54.6364,0.0,2018-11-14T12:30:00Z,Killybegs Port,3.173,3.173,0.582,0.0
-9.6669,53.1178,0.0,2018-11-14T12:30:00Z,Inishmore,3.245,3.245,0.244,0.0
-7.3344,55.3717,0.0,2018-11-14T12:30:00Z,Malin Head - Portmore Pier,3.167,3.167,0.865,0.0
-8.4955,54.9905,0.0,2018-11-14T12:30:00Z,Aranmore Island - Leabgarrow,3.255,3.255,0.704,0.0
-9.8928,54.2536,0.0,2018-11-14T12:30:00Z,Ballyglass Harbour,2.915,2.915,0.616,0.0
