1,2018-11-15T10:00:00Z,54.231657,-10.141218,Belmullet Wave Buoy Berth B,5.69,9.72,2.1863,8.79,0
1,2018-11-15T10:30:00Z,54.231657,-10.141218,Belmullet Wave Buoy Berth B,5.08,10.15,2.0472,8.38,0
5,2018-11-14T12:30:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,6.15,7.8,1.9401,6.08,0
5,2018-11-14T13:00:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,4.66,7.2,1.8871,6.01,0
5,2018-11-14T13:30:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,4.57,8.89,1.8586,5.97,0
5,2018-11-14T14:00:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,4.19,9.37,2.0104,6.14,0
5,2018-11-14T14:30:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,5.85,7.96,1.9524,5.96,0
5,2018-11-14T15:00:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,5.49,8.16,1.9404,6.06,0
5,2018-11-14T15:30:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,5.35,8.19,2.0406,6.23,0
5,2018-11-14T16:00:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,5.24,9.16,2.2405,6.58,0
5,2018-11-14T16:30:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,5.25,9.23,2.1865,6.63,0
5,2018-11-14T17:00:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,6.89,8.82,2.2026,6.51,0
5,2018-11-14T17:30:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,5.99,8.13,2.1048,6.54,0
5,2018-11-14T18:00:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,5.89,9.58,1.9888,6.49,0
5,2018-11-14T18:30:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,7.05,8.94,2.1634,6.9,0
5,2018-11-14T19:00:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,6.48,9.85,2.2569,7.06,0
5,2018-11-14T19:30:00Z,54.280833,-10.275317,Belmullet Wave Buoy Berth A,6.07,11.31,2.2018,7.12,0
