station_id,longitude,latitude,time,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,AirTemperature,DewPoint,SeaTemperature,salinity,RelativeHumidity,QC_Flag
,degrees_east,degrees_north,UTC,mb,degrees_true,kn,kn,m,s,degrees_true,m,degree_C,degree_C,degree_C,PSU,percent,
M6,-15.88135,53.07482,2017-09-11T03:00:00Z,1003.3,310.0,30.0,41.0,6.6,9.0,NaN,NaN,13.6,9.6,15.1,NaN,77.0,0.0
M2,-5.424046,53.481003,2017-09-11T04:00:00Z,983.545,264.0,22.343,29.6,2.031,4.805,235.0,2.637,14.004,NaN,14.526,NaN,84.766,0.0
M4,-9.999136,54.999966,2017-09-11T04:00:00Z,987.72,318.0,26.327,38.424,NaN,NaN,NaN,NaN,13.833,NaN,14.219,NaN,83.203,0.0
M5,-6.704336,51.690426,2017-09-11T04:00:00Z,991.931,270.0,27.039,35.577,4.219,7.383,194.0,5.859,14.243,NaN,15.518,NaN,89.063,0.0
M6,-15.88135,53.07482,2017-09-11T04:00:00Z,1003.9,320.0,25.0,41.0,6.3,9.0,NaN,NaN,12.3,9.5,15.0,NaN,83.0,0.0
M2,-5.424046,53.481003,2017-09-11T05:00:00Z,984.094,275.0,21.916,30.597,1.953,4.805,248.0,2.93,13.594,NaN,14.595,NaN,89.063,0.0
M4,-9.999136,54.999966,2017-09-11T05:00:00Z,988.892,330.0,23.908,35.008,NaN,NaN,NaN,NaN,13.799,NaN,14.185,NaN,80.469,0.0
M5,-6.704336,51.690426,2017-09-11T05:00:00Z,992.151,278.0,24.904,35.15,4.063,7.031,184.0,5.859,14.79,NaN,15.415,NaN,80.078,0.0
M6,-15.88135,53.07482,2017-09-11T05:00:00Z,1004.5,310.0,24.0,45.0,6.0,8.0,NaN,NaN,13.9,9.7,15.0,NaN,76.0,0.0
M4,-9.999136,54.999966,2017-09-11T06:00:00Z,990.283,323.0,23.766,33.3,NaN,NaN,NaN,NaN,13.696,NaN,14.219,NaN,81.641,0.0
M5,-6.704336,51.690426,2017-09-11T06:00:00Z,992.81,279.0,25.189,34.297,4.688,7.5,181.0,6.797,14.756,NaN,15.244,NaN,79.297,0.0
M2,-5.424046,53.481003,2017-09-11T06:00:00Z,985.266,274.0,23.196,29.6,1.836,4.688,264.0,2.637,14.072,NaN,14.697,NaN,86.328,0.0
M6,-15.88135,53.07482,2017-09-11T06:00:00Z,1004.7,310.0,23.0,35.0,6.0,9.0,NaN,NaN,13.9,9.6,15.0,NaN,75.0,0.0
M5,-6.704336,51.690426,2017-09-11T07:00:00Z,993.872,281.0,23.766,31.735,4.063,7.266,181.0,6.094,14.551,NaN,15.142,NaN,80.469,0.0
M2,-5.424046,53.481003,2017-09-11T07:00:00Z,986.511,281.0,23.339,30.739,1.992,4.805,264.0,3.223,14.277,NaN,14.731,NaN,84.375,0.0
M4,-9.999136,54.999966,2017-09-11T07:00:00Z,991.565,325.0,19.923,31.023,NaN,NaN,NaN,NaN,13.594,NaN,14.185,NaN,83.594,0.0
M6,-15.88135,53.07482,2017-09-11T07:00:00Z,1005.3,300.0,23.0,33.0,5.5,9.0,NaN,NaN,13.6,10.1,14.9,NaN,79.0,0.0
M4,-9.999136,54.999966,2017-09-11T08:00:00Z,992.957,324.0,20.493,29.458,NaN,NaN,NaN,NaN,12.842,NaN,14.185,NaN,91.016,0.0
M5,-6.704336,51.690426,2017-09-11T08:00:00Z,994.568,291.0,25.9,34.297,3.75,6.797,183.0,5.625,14.482,NaN,15.142,NaN,80.469,0.0
M2,-5.424046,53.481003,2017-09-11T08:00:00Z,987.793,281.0,22.77,32.589,1.914,4.688,262.0,2.637,14.175,NaN,14.697,NaN,84.375,0.0
M6,-15.88135,53.07482,2017-09-11T08:00:00Z,1005.9,300.0,21.0,31.0,5.3,8.0,NaN,NaN,13.7,10.5,15.0,NaN,81.0,0.0
M4,-9.999136,54.999966,2017-09-11T09:00:00Z,993.945,321.0,17.219,28.889,NaN,NaN,NaN,NaN,13.628,NaN,14.15,NaN,82.422,0.0
M5,-6.704336,51.690426,2017-09-11T09:00:00Z,995.996,292.0,23.054,29.031,3.594,6.68,186.0,4.688,14.448,NaN,15.176,NaN,79.688,0.0
M2,-5.424046,53.481003,2017-09-11T09:00:00Z,989.075,286.0,23.054,29.458,1.875,4.57,266.0,2.734,14.312,NaN,14.697,NaN,81.25,0.0
M6,-15.88135,53.07482,2017-09-11T09:00:00Z,1006.3,300.0,21.0,31.0,5.5,8.0,NaN,NaN,13.3,9.7,15.0,NaN,79.0,0.0
M5,-6.704336,51.690426,2017-09-11T10:00:00Z,997.058,285.0,21.631,28.177,3.281,6.445,172.0,4.453,14.517,NaN,15.278,NaN,76.563,0.0
M4,-9.999136,54.999966,2017-09-11T10:00:00Z,994.824,318.0,20.635,26.754,NaN,NaN,NaN,NaN,13.662,NaN,14.116,NaN,77.734,0.0
M2,-5.424046,53.481003,2017-09-11T10:00:00Z,990.686,291.0,20.777,28.035,2.07,4.805,269.0,2.734,14.585,NaN,14.697,NaN,79.688,0.0
M6,-15.88135,53.07482,2017-09-11T10:00:00Z,1006.9,300.0,20.0,29.0,4.7,7.0,NaN,NaN,13.3,10.1,14.9,NaN,81.0,0.0
M6,-15.88135,53.07482,2017-09-11T11:00:00Z,1007.3,290.0,21.0,29.0,4.8,8.0,NaN,NaN,13.4,10.1,15.0,NaN,80.0,0.0
M4,-9.999136,54.999966,2017-09-11T11:00:00Z,995.776,318.0,18.643,26.327,NaN,NaN,NaN,NaN,13.799,NaN,14.15,NaN,80.469,0.0
M5,-6.704336,51.690426,2017-09-11T11:00:00Z,998.01,290.0,22.058,28.177,3.125,6.328,166.0,4.688,14.653,NaN,15.347,NaN,75.781,0.0
M2,-5.424046,53.481003,2017-09-11T11:00:00Z,991.748,288.0,17.504,24.762,2.07,4.922,284.0,3.418,14.756,NaN,14.766,NaN,79.297,0.0
M2,-5.424046,53.481003,2017-09-11T12:00:00Z,992.847,302.0,17.789,24.762,1.953,5.039,273.0,3.027,14.756,NaN,14.731,NaN,76.172,0.0
M5,-6.704336,51.690426,2017-09-11T12:00:00Z,998.633,284.0,22.058,27.75,2.813,5.977,170.0,3.75,15.132,NaN,15.415,NaN,75.781,0.0
M4,-9.999136,54.999966,2017-09-11T12:00:00Z,996.692,328.0,16.793,24.477,NaN,NaN,NaN,NaN,13.354,NaN,14.15,NaN,83.984,0.0
M6,-15.88135,53.07482,2017-09-11T12:00:00Z,1007.9,300.0,20.0,29.0,4.0,7.0,NaN,NaN,13.3,10.1,15.0,NaN,81.0,0.0
M4,-9.999136,54.999966,2017-09-11T13:00:00Z,997.607,312.0,20.066,28.604,NaN,NaN,NaN,NaN,13.662,NaN,14.15,NaN,80.469,0.0
M5,-6.704336,51.690426,2017-09-11T13:00:00Z,999.255,284.0,19.781,25.9,2.656,5.977,187.0,3.75,15.098,NaN,15.415,NaN,75.0,0.0
M2,-5.424046,53.481003,2017-09-11T13:00:00Z,993.726,282.0,14.658,22.627,1.875,5.156,293.0,2.93,14.995,NaN,14.697,NaN,77.734,0.0
M6,-15.88135,53.07482,2017-09-11T13:00:00Z,1008.5,310.0,21.0,29.0,4.0,8.0,NaN,NaN,12.6,9.3,15.0,NaN,80.0,0.0
M2,-5.424046,53.481003,2017-09-11T14:00:00Z,994.714,292.0,17.362,26.043,1.68,5.039,294.0,2.539,14.209,NaN,14.629,NaN,77.344,0.0
M4,-9.999136,54.999966,2017-09-11T14:00:00Z,998.413,314.0,17.504,26.754,NaN,NaN,NaN,NaN,13.491,NaN,14.15,NaN,84.375,0.0
M5,-6.704336,51.690426,2017-09-11T14:00:00Z,999.622,285.0,22.912,28.462,2.656,5.977,183.0,3.281,14.961,NaN,15.381,NaN,76.953,0.0
M6,-15.88135,53.07482,2017-09-11T14:00:00Z,1008.7,300.0,20.0,31.0,4.2,8.0,NaN,NaN,12.7,9.4,15.0,NaN,80.0,0.0
M6,-15.88135,53.07482,2017-09-11T15:00:00Z,1008.7,300.0,19.0,29.0,3.7,7.0,NaN,NaN,13.6,8.8,15.0,NaN,73.0,0.0
M5,-6.704336,51.690426,2017-09-11T15:00:00Z,1000.5,295.0,21.346,28.177,2.5,5.859,169.0,3.516,15.234,NaN,15.313,NaN,76.172,0.0
M2,-5.424046,53.481003,2017-09-11T15:00:00Z,995.081,286.0,20.066,27.181,1.523,4.57,301.0,2.246,14.38,NaN,14.595,NaN,75.0,0.0
M4,-9.999136,54.999966,2017-09-11T15:00:00Z,998.926,315.0,21.062,27.608,NaN,NaN,NaN,NaN,13.662,NaN,14.15,NaN,80.859,0.0
M4,-9.999136,54.999966,2017-09-11T16:00:00Z,999.402,318.0,18.358,26.043,NaN,NaN,NaN,NaN,13.662,NaN,14.15,NaN,82.031,0.0
M2,-5.424046,53.481003,2017-09-11T16:00:00Z,995.996,296.0,17.504,22.912,1.563,4.219,305.0,2.539,15.029,NaN,14.629,NaN,75.0,0.0
M5,-6.704336,51.690426,2017-09-11T16:00:00Z,1001.16,293.0,21.916,28.462,2.5,5.859,169.0,4.688,14.961,NaN,15.142,NaN,77.734,0.0
M6,-15.88135,53.07482,2017-09-11T16:00:00Z,1008.9,300.0,19.0,25.0,3.9,8.0,NaN,NaN,13.5,8.1,14.9,NaN,70.0,0.0
